mentor_domain_id,mentor_id,reg_date_mentor,region_id_mentor,mentee_id,region_id_mentee,session_id,session_date_time,session_status
2,15823,2024-10-30 04:36:40,6,8848,3,6204,2021-11-24 05:00:31,canceled
5,23119,2024-02-10 05:57:35,2,10930,8,1262,2021-07-05 20:06:22,canceled
6,13255,2024-07-25 07:43:32,9,27047,1,7405,2023-10-21 16:21:05,canceled
9,22561,2024-05-21 12:11:05,8,16658,0,6701,2022-05-15 10:49:46,canceled
7,8405,2024-10-06 19:45:09,9,7003,10,2576,2024-11-07 23:33:41,finished
3,25326,2024-06-01 17:02:23,7,2307,6,3405,2024-04-13 10:16:17,finished
7,8424,2024-10-09 20:58:56,5,28822,2,8014,2020-05-15 18:35:47,finished
6,15538,2024-06-06 20:36:28,2,26816,5,5881,2020-04-21 16:57:04,canceled
5,14287,2024-07-27 23:24:10,9,26481,8,1463,2024-01-20 00:47:10,canceled
9,17660,2024-01-02 00:22:37,6,14488,2,5608,2021-07-27 10:49:28,finished
1,16110,2024-02-09 02:30:34,2,24792,3,5950,2022-11-15 09:28:14,finished
2,1678,2024-06-18 20:31:59,9,18013,5,2338,2022-01-11 11:44:41,finished
1,14195,2024-10-24 04:21:20,1,18611,5,8177,2022-07-30 20:02:05,finished
5,27609,2024-05-23 06:51:43,9,2440,2,3109,2022-08-17 20:53:16,canceled
10,7376,2024-09-28 04:34:55,1,23217,4,1610,2021-07-15 00:41:47,finished
4,12932,2024-05-31 14:59:11,3,4175,5,8717,2020-06-29 19:33:04,canceled
6,450,2024-05-22 16:26:25,1,10876,6,1126,2021-04-19 13:13:24,canceled
9,2004,2024-04-20 01:33:06,6,20525,9,7252,2021-04-12 00:26:26,canceled
6,26216,2024-02-04 13:28:35,5,4492,1,7140,2020-04-18 12:56:14,canceled
8,21917,2024-11-08 15:47:14,10,13023,10,3918,2021-06-13 00:40:11,canceled
1,18039,2024-05-18 23:23:48,5,21499,3,2779,2021-12-27 04:44:35,canceled
7,1551,2024-08-08 11:38:26,7,17069,5,5662,2020-03-20 22:03:55,finished
10,22819,2024-01-29 10:07:18,2,15114,5,3228,2022-05-20 09:43:40,finished
8,21143,2024-03-12 01:18:17,2,16688,3,5781,2022-11-02 01:23:42,finished
3,20283,2024-07-18 16:21:34,5,17610,0,3342,2023-06-07 18:34:16,canceled
2,12476,2024-01-17 03:23:54,10,9332,3,9448,2023-09-12 15:16:59,canceled
10,3528,2024-04-06 04:47:00,6,426,4,5447,2024-01-19 22:07:50,canceled
8,17979,2024-05-23 19:20:02,10,18279,9,5218,2021-05-16 07:51:54,canceled
8,26919,2024-06-02 08:47:33,10,28869,3,8525,2023-09-02 08:32:22,canceled
9,25821,2024-03-16 12:32:58,3,17419,5,6157,2022-06-07 18:48:39,finished
1,10608,2024-03-04 18:51:08,5,1595,8,5371,2024-03-15 12:38:04,canceled
5,21452,2024-07-06 03:32:33,6,13490,3,5551,2023-02-03 16:42:09,canceled
9,3151,2024-05-12 22:57:21,7,5924,2,9417,2023-10-05 10:13:58,canceled
9,16777,2024-09-05 06:19:51,4,5470,4,2888,2023-10-27 12:31:39,canceled
2,21775,2024-05-13 13:56:02,7,27841,0,8837,2020-03-19 03:17:58,canceled
5,14237,2024-01-27 21:11:46,4,26350,8,6960,2024-09-12 18:10:36,canceled
10,12426,2024-02-18 20:47:11,1,19228,10,9212,2021-06-16 19:57:50,finished
8,4081,2024-08-13 11:04:05,9,10053,9,2389,2020-09-21 23:04:51,finished
9,13508,2024-02-10 17:14:29,5,9793,10,5073,2024-11-06 10:47:17,canceled
6,27995,2024-09-28 07:59:34,5,195,4,4713,2020-05-26 06:07:41,finished
8,5005,2024-05-15 17:05:52,5,27074,2,6374,2024-08-09 21:29:53,finished
5,22407,2024-01-24 19:10:25,10,22848,5,9735,2020-05-06 03:36:47,finished
8,26563,2024-06-28 14:04:01,8,5060,8,4514,2024-04-19 19:37:50,finished
9,27022,2024-01-20 23:51:28,1,18794,1,8998,2022-04-18 22:28:42,canceled
9,28412,2024-04-01 12:46:45,10,15709,7,6845,2022-02-13 19:21:44,finished
4,29910,2024-01-30 09:57:57,9,23849,6,4035,2024-01-03 14:55:55,finished
4,28494,2024-05-17 12:53:43,2,5664,2,6290,2023-05-12 01:35:26,canceled
4,10961,2024-07-22 08:56:34,4,5132,2,7370,2020-02-08 03:10:13,finished
9,15327,2024-09-23 09:47:45,7,9250,4,1055,2020-09-18 13:38:26,canceled
7,24214,2024-07-12 03:36:51,7,11437,8,6157,2020-06-28 10:30:30,finished
4,25771,2024-06-19 05:55:11,5,15639,6,7303,2021-11-12 22:38:34,finished
6,5342,2024-05-24 02:00:22,10,28496,9,5627,2022-06-04 18:26:42,finished
4,9472,2024-06-27 23:32:16,7,15466,9,6478,2022-12-18 19:40:57,finished
4,10965,2024-08-24 11:37:53,4,8542,5,9022,2024-01-24 13:57:38,finished
4,15211,2024-11-03 11:18:52,6,5002,0,4041,2022-09-10 11:33:58,finished
9,17966,2024-06-13 15:39:45,10,1740,8,1188,2022-04-22 14:28:45,canceled
4,16658,2024-07-24 13:23:30,1,14552,8,7776,2020-05-09 19:19:43,canceled
5,14721,2024-07-08 01:36:36,2,4494,7,7443,2021-08-02 16:05:00,canceled
10,16868,2024-07-09 04:36:21,5,9480,0,8588,2022-11-23 06:26:56,canceled
10,28213,2024-02-18 01:58:44,7,25222,8,2356,2023-03-23 20:28:58,finished
9,14404,2024-10-13 04:34:19,7,3698,8,8615,2024-09-17 15:27:18,finished
3,20291,2024-08-11 02:44:17,2,272,7,9930,2022-03-24 20:03:44,canceled
10,23365,2024-04-02 21:19:36,9,10046,10,1001,2023-01-01 00:09:28,canceled
6,19163,2024-04-01 08:45:04,6,8841,9,9196,2024-06-22 18:29:51,finished
9,15146,2024-06-03 18:49:37,10,4178,8,3417,2021-01-10 08:36:54,finished
5,13633,2024-04-09 19:38:18,9,4583,6,8994,2023-07-07 19:49:30,canceled
5,21398,2024-01-11 18:15:27,4,18430,3,2768,2023-09-20 12:39:57,finished
10,10476,2024-04-12 07:30:03,6,22669,9,3862,2022-08-10 08:23:48,finished
1,1329,2024-04-09 10:02:02,8,28297,1,9493,2022-10-13 00:50:59,canceled
6,26611,2024-04-26 07:43:19,2,6656,1,9769,2023-08-21 00:44:38,finished
10,12333,2024-04-02 02:05:58,3,24122,5,6666,2022-05-04 09:00:05,finished
2,3182,2024-01-10 11:22:42,5,29577,5,2166,2020-01-30 01:58:34,canceled
10,5012,2024-06-10 09:25:09,8,27823,2,1853,2024-07-15 07:48:37,finished
8,18869,2024-07-08 22:39:49,10,14875,10,4446,2020-09-17 02:16:24,finished
4,6763,2024-01-15 13:28:22,10,379,8,4822,2023-01-17 04:57:14,canceled
5,28438,2024-02-21 23:43:27,6,26507,1,5388,2022-11-24 22:21:57,canceled
2,8559,2024-08-05 23:54:32,5,16031,0,2478,2022-04-18 23:50:00,canceled
3,28170,2024-07-06 23:45:25,4,20916,4,4028,2023-11-19 19:50:53,finished
9,2941,2024-01-30 23:23:47,7,11770,5,7937,2021-07-20 16:19:08,canceled
4,29931,2024-10-20 20:59:03,7,18311,7,3395,2023-11-29 03:56:21,canceled
4,23652,2024-04-03 01:43:05,2,11466,10,9147,2022-12-27 17:46:51,canceled
5,25995,2024-05-20 19:30:53,10,6804,6,7709,2020-05-01 12:16:48,canceled
2,5336,2024-05-13 19:26:36,6,23850,10,6948,2020-06-26 13:35:22,canceled
6,21425,2024-08-05 19:00:11,5,5214,6,4118,2020-11-25 01:21:22,finished
8,22975,2024-07-23 10:38:05,3,1090,6,8604,2024-09-01 06:34:22,canceled
9,10823,2024-06-13 00:24:48,3,26323,6,4708,2021-01-11 03:20:20,finished
10,14897,2024-09-11 21:37:53,2,7857,10,1461,2020-07-22 14:50:31,canceled
6,10751,2024-11-05 00:32:55,1,15045,10,9566,2023-05-07 06:51:47,canceled
8,7826,2024-10-08 00:42:45,6,15921,2,5240,2021-12-18 21:40:38,canceled
1,4188,2024-03-28 06:33:19,9,13947,5,2165,2021-03-29 22:47:45,finished
9,16411,2024-03-23 15:10:23,1,189,0,8760,2023-09-20 07:17:18,finished
1,21320,2024-09-04 10:41:37,3,24133,9,4112,2020-06-26 20:05:42,canceled
6,21657,2024-10-30 09:45:22,8,18832,0,9761,2024-03-29 05:56:08,canceled
3,14055,2024-04-25 23:48:09,10,11489,2,6867,2020-02-23 23:31:44,canceled
1,22374,2024-04-10 03:41:29,7,25995,10,9428,2020-01-15 07:54:34,canceled
1,6561,2024-04-26 10:14:16,9,17280,9,5790,2020-04-17 12:02:12,finished
3,26850,2024-07-12 13:47:46,5,14841,9,9376,2022-10-26 20:15:02,finished
9,3542,2024-08-16 22:05:00,8,20578,3,8195,2022-08-28 09:34:45,canceled
3,2907,2024-03-03 15:33:43,3,4824,4,4926,2020-03-27 23:54:40,finished
1,13298,2024-01-31 23:07:22,10,5235,1,1366,2021-05-22 12:57:38,canceled
1,16163,2024-05-15 04:36:15,1,18751,4,5758,2023-07-08 05:38:30,canceled
2,7469,2024-08-01 04:19:13,7,24297,9,1973,2021-08-03 04:21:42,finished
2,12373,2024-05-01 04:19:33,10,22635,4,4498,2022-09-10 04:28:58,finished
7,26257,2024-10-23 12:47:41,8,20128,4,4696,2023-03-30 17:20:57,canceled
3,21485,2024-09-06 15:33:53,2,22474,5,3283,2023-11-22 04:17:04,finished
5,4694,2024-07-20 16:00:42,1,19010,6,2139,2022-01-24 13:59:35,canceled
3,10304,2024-03-18 18:48:28,6,25761,0,5445,2023-08-16 05:12:49,finished
6,4611,2024-01-18 17:24:38,7,5726,2,5486,2022-08-21 03:08:25,finished
8,2937,2024-08-08 12:25:40,10,21289,8,4989,2021-03-03 07:22:30,finished
9,13178,2024-04-16 01:09:22,1,204,4,2836,2024-04-16 08:22:38,finished
6,3723,2024-05-13 15:55:01,8,29735,2,7446,2024-08-17 02:04:02,finished
3,10828,2024-04-12 16:30:05,1,2215,3,4662,2024-05-23 05:26:20,canceled
10,17452,2024-01-10 23:33:55,8,10776,6,5182,2021-05-01 00:42:15,finished
3,15144,2024-02-10 03:52:21,4,8841,7,5452,2022-02-19 21:16:33,canceled
9,22105,2024-06-22 00:34:16,5,26902,8,6797,2020-09-24 17:18:56,finished
4,2524,2024-07-16 01:56:37,2,7737,5,4154,2024-01-28 15:13:56,finished
7,26160,2024-05-20 16:36:07,6,9726,7,6501,2021-11-26 02:34:47,finished
5,16246,2024-04-12 06:21:15,5,16468,1,6694,2022-06-07 14:22:35,finished
9,10807,2024-10-05 08:55:48,4,29027,7,6144,2020-11-22 18:32:17,finished
7,18039,2024-02-09 06:04:15,5,14540,9,6688,2023-07-23 15:43:15,canceled
2,1653,2024-01-13 02:49:31,10,19933,9,5258,2024-04-25 20:46:52,canceled
1,17739,2024-07-15 04:04:35,9,1750,3,2216,2020-03-14 10:20:53,canceled
9,10425,2024-03-30 00:02:49,1,12758,3,1931,2023-03-13 01:32:01,canceled
8,7914,2024-07-27 15:45:41,8,1612,2,9088,2024-05-25 15:43:17,canceled
6,23707,2024-07-16 07:49:40,10,20718,7,6882,2022-03-23 02:29:42,finished
5,9466,2024-08-27 10:36:41,6,26026,3,1471,2022-08-09 18:05:51,canceled
1,13558,2024-03-23 06:52:28,6,14424,8,8989,2023-12-25 17:11:39,canceled
1,7903,2024-03-25 20:11:40,7,14099,5,1941,2024-03-10 14:22:23,canceled
9,15087,2024-08-16 06:42:02,7,16954,0,3317,2022-12-15 01:44:27,canceled
3,1194,2024-06-10 15:55:44,7,14627,7,9036,2024-10-29 11:07:28,finished
4,2507,2024-06-10 14:14:28,8,24337,0,7562,2022-11-23 01:19:54,canceled
7,13388,2024-10-18 06:00:45,8,8990,9,8216,2023-11-06 21:36:10,finished
3,22654,2024-06-28 03:58:19,9,28986,6,7498,2024-03-02 07:38:59,canceled
3,3343,2024-09-17 21:32:59,10,2853,3,6505,2024-10-09 06:25:45,finished
1,6992,2024-10-12 04:28:56,1,22590,4,6210,2023-05-16 07:49:45,finished
5,21766,2024-09-22 03:08:29,8,9495,1,6631,2020-05-29 08:03:49,canceled
6,19635,2024-10-15 14:12:19,8,5645,5,9752,2020-07-02 01:34:12,canceled
4,29417,2024-11-06 02:13:36,9,815,1,8440,2021-12-31 19:16:40,finished
8,5382,2024-08-09 20:52:21,6,13719,7,2459,2022-01-04 09:36:53,finished
7,11444,2024-07-20 02:20:40,7,6128,3,3333,2021-07-03 20:53:17,finished
7,28286,2024-07-25 22:17:19,6,11911,0,3747,2022-11-13 19:39:30,canceled
9,2430,2024-08-22 15:40:27,1,22950,4,7057,2022-08-25 14:37:06,canceled
5,1993,2024-06-24 11:18:48,5,16916,4,5886,2023-03-16 20:48:45,canceled
6,24860,2024-08-21 20:58:17,6,4356,0,8272,2022-09-28 00:33:26,finished
7,15350,2024-04-12 01:04:24,10,2445,1,6398,2020-10-04 04:12:18,canceled
8,10648,2024-02-11 17:41:28,5,6981,2,9255,2020-09-22 19:34:05,canceled
2,27480,2024-10-15 20:52:16,2,2926,6,9989,2022-11-04 15:39:41,finished
2,23312,2024-02-11 04:00:26,4,29937,1,6050,2024-09-27 14:50:01,canceled
9,16839,2024-10-16 16:44:31,10,7904,10,6154,2020-10-21 06:21:20,canceled
7,21171,2024-03-13 18:10:03,4,15928,5,6677,2024-01-26 16:29:13,finished
9,19349,2024-10-24 08:12:59,10,1978,3,8910,2024-08-14 09:15:02,finished
4,23518,2024-07-25 21:03:32,4,16009,5,4507,2020-07-09 13:35:52,finished
5,25705,2024-05-20 06:24:45,6,6409,4,8250,2021-02-19 18:34:42,finished
10,4409,2024-01-06 05:53:10,9,26386,1,1183,2023-10-28 04:58:25,finished
6,25830,2024-01-28 04:27:21,2,15901,2,9363,2024-01-07 22:53:07,finished
9,3859,2024-05-04 04:00:21,6,21032,3,3762,2021-05-18 09:10:49,canceled
5,556,2024-01-05 11:21:44,1,11894,1,9502,2021-09-24 21:32:54,finished
2,12506,2024-10-09 05:14:44,10,27234,10,1282,2022-08-09 18:43:19,finished
7,7377,2024-03-17 12:41:40,4,10699,8,2707,2020-04-23 01:29:47,finished
5,24354,2024-06-28 11:21:29,10,27097,0,9038,2020-03-29 09:44:06,canceled
4,3416,2024-07-11 10:08:56,8,25277,5,8280,2020-01-12 02:41:12,finished
10,22402,2024-10-03 17:09:26,8,15487,9,2488,2022-12-19 16:29:43,canceled
7,3847,2024-01-24 17:57:26,6,5790,0,2067,2024-04-22 03:34:33,canceled
7,9623,2024-11-01 02:01:34,2,8241,7,4614,2023-01-05 13:35:24,canceled
2,8672,2024-09-16 11:12:54,4,20000,10,9360,2021-09-13 11:31:46,finished
7,14010,2024-05-30 11:49:47,5,3166,4,4687,2020-01-24 04:23:27,finished
6,23576,2024-01-08 13:43:45,1,2951,0,6966,2021-09-17 12:08:49,finished
3,12392,2024-09-12 14:28:44,2,8913,2,4174,2023-05-31 10:05:36,finished
9,10028,2024-05-18 06:58:23,1,19398,4,4107,2020-12-07 18:34:13,finished
9,26741,2024-10-27 23:25:38,8,17200,9,8465,2021-11-09 15:35:58,canceled
4,16698,2024-11-07 23:16:57,5,26862,4,8567,2021-05-13 16:34:15,canceled
6,3279,2024-05-03 22:02:03,6,13497,8,9291,2024-04-08 07:05:32,finished
2,4199,2024-08-23 04:56:25,4,16825,9,3873,2024-09-18 13:11:22,finished
2,20519,2024-03-30 15:59:54,6,29080,1,6930,2021-02-28 05:11:02,finished
3,25614,2024-01-28 21:13:18,3,23106,7,6018,2020-07-07 18:29:48,canceled
5,11032,2024-04-24 23:45:52,8,28924,10,6273,2020-12-20 01:54:33,canceled
2,10652,2024-05-14 01:37:03,4,26690,3,2755,2024-08-26 14:33:36,canceled
9,22915,2024-09-29 06:27:02,7,28451,3,5106,2020-03-20 01:03:36,finished
6,1302,2024-07-29 18:31:48,1,25271,8,9497,2021-08-09 20:18:07,finished
5,28007,2024-07-20 23:41:38,10,2089,2,2544,2021-10-05 12:05:21,finished
1,4153,2024-06-30 21:19:29,10,20556,5,3284,2020-10-31 12:08:35,canceled
7,7260,2024-01-29 08:30:24,5,25727,7,4082,2024-03-18 01:45:31,finished
2,24137,2024-08-07 15:35:16,7,22574,4,5017,2021-01-11 16:38:52,canceled
10,18314,2024-03-09 08:58:19,6,5620,2,9637,2023-09-15 02:15:04,canceled
6,4457,2024-09-14 03:20:58,7,21732,1,3421,2021-09-11 22:54:44,canceled
3,8277,2024-03-27 12:53:56,1,21193,2,9460,2024-10-28 14:31:37,canceled
3,12993,2024-02-01 07:29:53,4,18563,7,8770,2024-05-04 02:48:24,finished
8,9226,2024-04-13 08:09:15,8,19210,4,8251,2024-10-15 17:33:59,finished
6,19167,2024-06-18 23:21:31,1,26406,9,8060,2024-07-31 16:13:40,canceled
6,21897,2024-02-23 22:24:19,5,11592,4,1139,2021-04-27 01:20:14,finished
2,19154,2024-09-20 15:13:15,6,19768,5,4215,2022-09-27 22:01:45,canceled
5,11690,2024-06-30 02:50:42,9,10881,6,2105,2020-08-09 02:47:39,finished
5,27239,2024-06-15 00:35:20,4,13053,9,7572,2021-06-04 17:06:19,finished
10,14710,2024-10-03 00:02:12,6,20133,0,9257,2022-06-30 22:32:30,finished
3,9855,2024-08-09 21:36:08,9,17439,9,2904,2021-11-19 15:39:00,finished
4,4928,2024-03-11 15:11:41,10,16099,9,6287,2020-10-25 01:31:47,canceled
